"v33";"v76";"v12";"v68";"v50";"v7";"v70";"v55";"v20";"v24";"v32";"v97";"v28";"v99";"v95";"v42";"v53";"v85";"v9";"v84";"v44";"classlabel"
"v";"g";17,92;"f";1,75;"a";"t";80;0,000054;1;"u";2,82;"t";"c";"t";800000;5;"g";0;"f";"f";"no."
"v";"s";16,92;"f";0,29;"b";"f";200;0,0000335;0;"y";3,45;"f";"k";NA;2000000;0;"p";1;"f";"f";"no."
"ff";"g";31,25;"f";0;"b";"t";96;0,0001125;1;"u";3,24;"f";"ff";"t";960000;19;"g";0;"f";"f";"no."
"o";"g";48,17;"f";0,335;"a";"f";0;0,0001335;0;"u";4,21;"f";"i";NA;0;120;"g";1;"f";"f";"no."
"v";"g";32,33;"t";0,5;"b";"f";232;0,00035;0;"u";3,44;"t";"k";"f";2320000;0;"g";1;"f";"f";"no."
"h";"g";34,83;"f";0,5;"a";"f";160;0,000125;0;"y";3,64;"t";"i";"f";1600000;0;"p";0;"f";"f";"no."
"j";"g";26,17;"t";0;"a";"f";276;0,0002;0;"u";2,74;"t";"j";NA;2760000;1;"g";1;"f";"f";"no."
"h";"g";21,17;"f";0,25;"b";"f";280;0,0000875;0;"y";4,03;"f";"c";NA;2800000;204;"p";1;"f";"f";"no."
"v";"g";28,92;"f";0,29;"b";"f";220;0,0000375;0;"u";2,49;"f";"c";NA;2200000;140;"g";0;"f";"f";"no."
"h";"g";18,17;"f";1,085;"b";"f";320;0,001025;0;"u";2,96;"f";"c";NA;3200000;13;"g";0;"f";"f";"no."
"h";"g";24,75;"f";1,5;"a";"f";280;0,0013665;0;"u";3,41;"f";"q";"f";2800000;1;"g";0;"f";"f";"no."
"j";"g";31,75;"f";0;"a";"f";160;0,0003;0;"y";3,42;"f";"j";"f";1600000;20;"p";1;"f";"f";"no."
"h";"g";18,17;"f";0,165;"a";"f";340;0,001;0;"y";3,12;"f";"q";"f";3400000;0;"p";0;"f";"f";"no."
"v";"g";18,25;"f";1;"a";"t";120;0,001;1;"u";4,06;"f";"W";NA;1200000;1;"g";1;"f";"f";"no."
"h";"g";17,58;"f";0,165;"b";"t";120;0,001;1;"u";3,44;"f";"W";"t";1200000;1;"g";1;"f";"f";"no."
